InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
103534,D032,Daraz Silk Scarf,8,02/04/2021 12:46,128.23,877,Pakistan
103535,D022,Handcrafted Daraz Mug,7,15/09/2021 21:32,1219.97,357,Pakistan
103536,D040,Daraz Printed T-shirt,6,21/05/2021 11:10,1043.26,681,Pakistan
103537,D030,Handwoven Daraz Pashmina Shawl,7,01/06/2021 9:48,1505.18,407,Pakistan
103538,D028,Daraz Wooden Frame,3,19/09/2021 20:02,1837.2,690,Pakistan
103539,D036,Daraz Artisanal Clock,4,05/01/2021 4:16,1026.82,336,Pakistan
103540,D023,Daraz Model Car,2,06/08/2021 6:36,1869.13,161,Pakistan
103541,D023,Daraz Handmade Notebook,5,24/02/2021 21:17,1437.06,996,Pakistan
103542,D012,Daraz Printed T-shirt,10,23/02/2021 4:37,573.23,603,Pakistan
103543,D050,Handcrafted Daraz Mug,10,03/12/2021 15:48,996.87,830,Pakistan
103544,D043,Daraz Calligraphy Art Piece,8,01/03/2021 6:22,1100.98,278,Pakistan
103545,D029,Daraz Leather Wallet,1,14/01/2021 12:05,287.1,290,Pakistan
103546,D028,Wooden Daraz Keychain Set,7,19/09/2021 23:43,1450.25,730,Pakistan
103547,D004,Daraz Printed T-shirt,7,17/01/2021 3:18,1826.73,903,Pakistan
103548,D033,Wooden Daraz Keychain Set,8,06/10/2021 12:58,222.03,182,Pakistan
103549,D032,Miniature Daraz Truck Figurine,5,12/10/2021 21:40,1264.24,824,Pakistan
103550,D007,Daraz Printed T-shirt,5,18/05/2021 5:47,826.86,167,Pakistan
103551,D025,Embroidered Daraz Cushion Cover,2,03/08/2021 9:59,621.96,973,Pakistan
103552,D018,Hand-painted Daraz Ceramic Plate,1,02/06/2021 10:59,408.63,738,Pakistan
103553,D030,Wooden Daraz Keychain Set,3,10/01/2021 15:38,838.92,854,Pakistan
103554,D003,Daraz Artisanal Clock,4,01/06/2021 8:10,1924.26,868,Pakistan
103555,D048,Wooden Daraz Jewelry Box,5,07/01/2021 10:49,769.39,381,Pakistan
103556,D013,Daraz Silk Scarf,10,18/01/2021 13:06,1578.66,451,Pakistan
103557,D019,Daraz Decorative Lamp,9,25/08/2021 20:32,577.8,674,Pakistan
103558,D021,Daraz Embroidered Towel,2,09/08/2021 13:05,1408.9,653,Pakistan
103559,D001,Daraz Wooden Frame,6,09/09/2021 11:36,1924.68,526,Pakistan
103560,D010,Daraz Calligraphy Art Piece,10,21/12/2021 13:39,871.06,911,Pakistan
103561,D019,Handcrafted Daraz Mug,4,24/04/2021 10:02,950.7,559,Pakistan
103562,D024,Daraz Handmade Notebook,10,14/10/2021 17:55,392.07,572,Pakistan
103563,D002,Daraz Model Car,3,07/05/2021 7:01,850.5,641,Pakistan
103564,D046,Wooden Daraz Jewelry Box,9,01/06/2021 17:39,890.03,439,Pakistan
103565,D048,Wooden Daraz Keychain Set,1,24/11/2021 5:03,1669.58,444,Pakistan
103566,D032,Embroidered Daraz Cushion Cover,5,24/07/2021 19:04,1968.17,665,Pakistan
103567,D036,Embroidered Daraz Cushion Cover,7,20/06/2021 14:05,112.04,528,Pakistan
103568,D045,Hand-painted Daraz Ceramic Plate,9,01/10/2021 16:11,289.63,393,Pakistan
103569,D043,Wooden Daraz Keychain Set,3,09/04/2021 3:52,750.56,382,Pakistan
103570,D017,Handcrafted Daraz Mug,8,09/04/2021 16:00,906.18,413,Pakistan
103571,D025,Daraz Silk Scarf,2,24/02/2021 11:16,1485.22,387,Pakistan
103572,D040,Daraz Wooden Frame,7,06/07/2021 2:09,1894.64,846,Pakistan
103573,D005,Wooden Daraz Jewelry Box,4,05/05/2021 21:49,976.64,727,Pakistan
103574,D006,Daraz Artisanal Clock,4,03/06/2021 1:03,1152.66,714,Pakistan
103575,D028,Daraz Decorative Lamp,9,19/10/2021 7:15,1084.12,567,Pakistan
103576,D040,Daraz Leather Wallet,2,03/10/2021 17:21,1792.15,986,Pakistan
103577,D030,Traditional Daraz Pottery Bowl,3,20/07/2021 9:19,122.52,774,Pakistan
103578,D037,Handwoven Daraz Pashmina Shawl,9,13/03/2021 8:38,842.58,601,Pakistan
103579,D032,Daraz Printed T-shirt,5,03/09/2021 16:00,314.67,695,Pakistan
103580,D023,Handcrafted Daraz Mug,10,14/06/2021 16:40,1171.23,270,Pakistan
103581,D002,Handcrafted Daraz Decorative Figurine,7,13/10/2021 19:00,586.68,106,Pakistan
103582,D009,Hand-painted Daraz Ceramic Plate,3,25/11/2021 13:09,573.7,241,Pakistan
103583,D036,Daraz Silk Scarf,8,31/01/2021 1:13,957.35,892,Pakistan
103584,D027,Daraz Printed T-shirt,10,06/07/2021 23:44,1954.66,253,Pakistan
103585,D008,Daraz Embroidered Towel,1,04/11/2021 20:40,1603.75,737,Pakistan
103586,D016,Daraz Handmade Notebook,4,07/09/2021 1:05,1094.72,327,Pakistan
103587,D031,Handwoven Daraz Pashmina Shawl,7,29/11/2021 10:53,1689.54,555,Pakistan
103588,D011,Daraz Ceramic Vase,4,15/01/2021 0:27,1101.01,922,Pakistan
103589,D019,Daraz Printed T-shirt,7,20/05/2021 14:03,1293.44,198,Pakistan
103590,D037,Daraz Model Car,4,22/09/2021 22:33,1261.46,520,Pakistan
103591,D014,Daraz Model Car,2,28/02/2021 8:44,1039.83,549,Pakistan
103592,D040,Traditional Daraz Pottery Bowl,10,25/04/2021 4:15,798.75,434,Pakistan
103593,D024,Daraz Leather Wallet,10,22/03/2021 6:58,1491.25,553,Pakistan
103594,D016,Traditional Daraz Pottery Bowl,10,14/06/2021 21:26,701.11,348,Pakistan
103595,D026,Embroidered Daraz Cushion Cover,8,05/09/2021 16:57,831.32,911,Pakistan
103596,D003,Handcrafted Daraz Mug,8,15/07/2021 9:25,1914.07,161,Pakistan
103597,D044,Daraz Leather Wallet,8,02/07/2021 18:36,1540.74,593,Pakistan
103598,D024,Daraz Calligraphy Art Piece,2,17/04/2021 15:19,746.85,211,Pakistan
103599,D035,Daraz Artisanal Clock,6,14/11/2021 4:53,1711.93,175,Pakistan
103600,D046,Hand-painted Daraz Ceramic Plate,4,14/07/2021 9:43,994.02,282,Pakistan
103601,D043,Daraz Printed T-shirt,7,27/12/2021 19:38,1844.45,250,Pakistan
103602,D027,Daraz Ceramic Vase,4,24/05/2021 9:34,1649.68,209,Pakistan
103603,D046,Daraz Model Car,10,06/09/2021 16:12,1670.34,352,Pakistan
103604,D003,Daraz Ceramic Vase,10,30/08/2021 13:45,1320.35,860,Pakistan
103605,D012,Daraz Decorative Lamp,5,24/05/2021 12:11,739.76,287,Pakistan
103606,D014,Handcrafted Daraz Decorative Figurine,3,25/12/2021 0:59,641.48,340,Pakistan
103607,D020,Handcrafted Daraz Mug,3,06/12/2021 20:20,816.27,254,Pakistan
103608,D027,Wooden Daraz Jewelry Box,10,08/01/2021 21:34,1548.08,524,Pakistan
103609,D008,Daraz Leather Wallet,1,16/09/2021 2:18,132.77,547,Pakistan
103610,D022,Wooden Daraz Jewelry Box,8,19/09/2021 10:51,521.56,540,Pakistan
103611,D037,Wooden Daraz Jewelry Box,4,10/04/2021 2:09,233.69,662,Pakistan
103612,D041,Handcrafted Daraz Decorative Figurine,8,13/11/2021 17:01,1607.07,993,Pakistan
103613,D002,Traditional Daraz Pottery Bowl,2,19/03/2021 15:55,1082.64,591,Pakistan
103614,D035,Daraz Handmade Notebook,4,12/12/2021 22:01,189.41,366,Pakistan
103615,D032,Embroidered Daraz Cushion Cover,10,05/08/2021 3:35,1076.54,471,Pakistan
103616,D009,Daraz Wooden Frame,9,28/02/2021 21:00,517.3,217,Pakistan
103617,D017,Daraz Printed T-shirt,10,01/02/2021 16:31,1516.74,470,Pakistan
103618,D010,Daraz Model Car,4,17/01/2021 12:08,1180.97,202,Pakistan
103619,D005,Daraz Handmade Notebook,10,04/12/2021 12:04,1739.8,507,Pakistan
103620,D033,Daraz Printed T-shirt,9,26/01/2021 4:20,301.71,600,Pakistan
103621,D021,Daraz Calligraphy Art Piece,10,26/01/2021 11:30,1573.15,421,Pakistan
103622,D014,Traditional Daraz Pottery Bowl,1,24/09/2021 10:04,1393.75,810,Pakistan
103623,D044,Handwoven Daraz Pashmina Shawl,8,12/03/2021 8:14,1148.86,121,Pakistan
103624,D013,Traditional Daraz Pottery Bowl,5,24/12/2021 7:48,317.2,546,Pakistan
103625,D014,Daraz Printed T-shirt,6,17/01/2021 12:37,1614.72,531,Pakistan
103626,D027,Embroidered Daraz Cushion Cover,7,20/04/2021 8:53,1992.96,760,Pakistan
103627,D040,Daraz Ceramic Vase,1,11/02/2021 15:30,1537.81,597,Pakistan
103628,D017,Daraz Wooden Frame,6,14/04/2021 15:02,287.77,679,Pakistan
103629,D030,Daraz Embroidered Towel,1,28/10/2021 3:03,999.49,219,Pakistan
103630,D035,Daraz Decorative Lamp,8,10/06/2021 12:45,175.79,944,Pakistan
103631,D023,Daraz Handmade Notebook,10,20/06/2021 12:38,1578.28,630,Pakistan
103632,D045,Daraz Ceramic Vase,8,14/04/2021 17:47,709.35,791,Pakistan
103633,D013,Embroidered Daraz Cushion Cover,4,02/09/2021 11:10,1833.31,594,Pakistan
103634,D013,Embroidered Daraz Cushion Cover,7,20/01/2021 15:17,1029.73,189,Pakistan
103635,D020,Handcrafted Daraz Mug,6,16/10/2021 11:05,1346.04,754,Pakistan
103636,D034,Daraz Decorative Lamp,6,07/09/2021 13:10,298.89,704,Pakistan
103637,D002,Embroidered Daraz Cushion Cover,6,26/11/2021 10:11,1064.11,548,Pakistan
103638,D026,Daraz Decorative Lamp,9,25/04/2021 22:15,1419.04,113,Pakistan
103639,D035,Handcrafted Daraz Mug,2,31/03/2021 19:01,1598.14,790,Pakistan
103640,D038,Wooden Daraz Jewelry Box,7,02/08/2021 22:25,142.04,202,Pakistan
103641,D047,Daraz Leather Wallet,1,02/12/2021 6:03,242.31,622,Pakistan
103642,D018,Wooden Daraz Keychain Set,4,05/12/2021 0:19,1403.21,361,Pakistan
103643,D003,Daraz Artisanal Clock,7,08/02/2021 3:27,913.16,646,Pakistan
103644,D037,Hand-painted Daraz Ceramic Plate,2,02/02/2021 17:19,1898.31,677,Pakistan
103645,D024,Miniature Daraz Truck Figurine,1,18/08/2021 8:35,1128.48,351,Pakistan
103646,D041,Daraz Decorative Lamp,4,09/02/2021 18:55,212.57,457,Pakistan
103647,D038,Hand-painted Daraz Ceramic Plate,4,24/04/2021 7:14,1349.21,691,Pakistan
103648,D020,Daraz Artisanal Clock,2,28/12/2021 1:41,1620.89,169,Pakistan
103649,D001,Traditional Daraz Pottery Bowl,7,16/05/2021 11:31,1098.7,509,Pakistan
103650,D047,Handcrafted Daraz Mug,4,30/07/2021 7:14,1437.78,176,Pakistan
103651,D049,Daraz Silk Scarf,10,23/07/2021 2:35,83.64,954,Pakistan
103652,D028,Daraz Decorative Lamp,7,01/02/2021 15:58,1453.95,553,Pakistan
103653,D009,Miniature Daraz Truck Figurine,6,12/04/2021 16:06,628.75,408,Pakistan
103654,D047,Handcrafted Daraz Decorative Figurine,8,12/11/2021 12:34,1831.81,436,Pakistan
103655,D047,Wooden Daraz Keychain Set,7,15/12/2021 7:33,1487.05,724,Pakistan
103656,D041,Daraz Decorative Lamp,10,05/12/2021 7:36,1925.26,121,Pakistan
103657,D007,Daraz Decorative Lamp,9,30/07/2021 3:49,1638.14,506,Pakistan
103658,D022,Handcrafted Daraz Decorative Figurine,8,11/03/2021 1:18,953.67,918,Pakistan
103659,D005,Daraz Artisanal Clock,8,22/12/2021 5:33,1442.8,449,Pakistan
103660,D004,Daraz Leather Wallet,2,26/11/2021 3:27,1539.21,958,Pakistan
103661,D038,Daraz Calligraphy Art Piece,7,24/03/2021 17:42,82.84,136,Pakistan
103662,D002,Daraz Calligraphy Art Piece,3,08/09/2021 20:07,653.09,139,Pakistan
103663,D008,Daraz Printed T-shirt,7,21/04/2021 4:30,1002.07,803,Pakistan
103664,D022,Daraz Calligraphy Art Piece,2,13/11/2021 22:59,1778.14,394,Pakistan
103665,D011,Daraz Calligraphy Art Piece,3,05/05/2021 8:44,1934.28,521,Pakistan
103666,D034,Daraz Printed T-shirt,4,27/10/2021 21:55,308.4,308,Pakistan
103667,D022,Handcrafted Daraz Decorative Figurine,7,31/12/2021 17:30,407.71,411,Pakistan
103668,D028,Daraz Leather Wallet,9,23/05/2021 22:27,1400.44,338,Pakistan
103669,D006,Handcrafted Daraz Mug,7,15/02/2021 11:05,1781.96,269,Pakistan
103670,D025,Embroidered Daraz Cushion Cover,3,25/04/2021 10:53,1092.05,709,Pakistan
103671,D015,Daraz Leather Wallet,2,10/02/2021 8:45,1575.77,953,Pakistan
103672,D028,Embroidered Daraz Cushion Cover,7,28/12/2021 19:21,1457.19,277,Pakistan
103673,D040,Daraz Decorative Lamp,2,21/05/2021 17:08,1343.2,630,Pakistan
103674,D012,Daraz Wooden Frame,4,22/05/2021 6:53,1469.28,850,Pakistan
103675,D036,Daraz Wooden Frame,9,18/05/2021 5:39,283.02,507,Pakistan
103676,D041,Handwoven Daraz Pashmina Shawl,3,20/06/2021 0:14,334.14,790,Pakistan
103677,D025,Handcrafted Daraz Mug,5,20/03/2021 23:10,917.96,248,Pakistan
103678,D010,Daraz Handmade Notebook,5,06/02/2021 16:05,635.24,402,Pakistan
103679,D030,Handwoven Daraz Pashmina Shawl,10,09/03/2021 2:20,1049.5,499,Pakistan
103680,D020,Miniature Daraz Truck Figurine,1,02/05/2021 17:22,1136.95,621,Pakistan
103681,D044,Daraz Ceramic Vase,7,18/11/2021 19:51,980.93,422,Pakistan
103682,D028,Wooden Daraz Jewelry Box,9,27/07/2021 11:49,1295.61,177,Pakistan
103683,D043,Daraz Ceramic Vase,8,15/05/2021 18:08,477.41,684,Pakistan
103684,D008,Daraz Silk Scarf,8,08/09/2021 13:51,933.1,849,Pakistan
103685,D041,Hand-painted Daraz Ceramic Plate,5,26/08/2021 15:38,210.59,229,Pakistan
103686,D048,Daraz Ceramic Vase,5,04/10/2021 4:07,1516.47,189,Pakistan
103687,D043,Daraz Wooden Frame,10,15/02/2021 7:05,334.48,450,Pakistan
103688,D036,Handwoven Daraz Pashmina Shawl,10,13/11/2021 4:24,1571.28,836,Pakistan
103689,D016,Daraz Embroidered Towel,7,27/07/2021 15:18,793.23,542,Pakistan
103690,D035,Wooden Daraz Keychain Set,5,02/04/2021 22:39,537.57,739,Pakistan
103691,D020,Handcrafted Daraz Decorative Figurine,10,22/01/2021 4:53,1768.61,936,Pakistan
103692,D016,Daraz Artisanal Clock,5,03/04/2021 7:14,1887.9,928,Pakistan
103693,D034,Handwoven Daraz Pashmina Shawl,3,09/07/2021 15:33,860.33,133,Pakistan
103694,D003,Daraz Artisanal Clock,7,22/06/2021 4:41,110.96,743,Pakistan
103695,D010,Traditional Daraz Pottery Bowl,7,18/01/2021 6:36,116.67,944,Pakistan
103696,D003,Handwoven Daraz Pashmina Shawl,2,23/01/2021 22:16,1254.19,556,Pakistan
103697,D021,Embroidered Daraz Cushion Cover,9,07/10/2021 2:50,1546.81,759,Pakistan
103698,D009,Daraz Artisanal Clock,3,07/11/2021 11:30,1409.98,342,Pakistan
103699,D010,Daraz Embroidered Towel,10,10/07/2021 21:39,881.16,421,Pakistan
103700,D020,Daraz Wooden Frame,4,14/06/2021 10:08,1999.8,444,Pakistan
103701,D002,Wooden Daraz Jewelry Box,2,29/12/2021 11:15,1864.67,681,Pakistan
103702,D009,Traditional Daraz Pottery Bowl,3,31/12/2021 17:03,852.09,309,Pakistan
103703,D016,Handcrafted Daraz Mug,6,14/12/2021 19:17,133.8,781,Pakistan
103704,D003,Embroidered Daraz Cushion Cover,7,31/08/2021 15:11,341.24,131,Pakistan
103705,D039,Daraz Leather Wallet,9,11/09/2021 23:12,1655.53,633,Pakistan
103706,D033,Miniature Daraz Truck Figurine,3,06/05/2021 4:24,728.52,419,Pakistan
103707,D032,Daraz Ceramic Vase,10,12/03/2021 8:05,1914.23,369,Pakistan
103708,D030,Embroidered Daraz Cushion Cover,5,13/08/2021 2:06,799.31,438,Pakistan
103709,D007,Daraz Handmade Notebook,1,18/07/2021 7:25,1126.99,507,Pakistan
103710,D006,Miniature Daraz Truck Figurine,9,29/04/2021 18:00,1616.83,878,Pakistan
103711,D050,Daraz Silk Scarf,1,29/10/2021 6:19,1445.19,736,Pakistan
103712,D043,Wooden Daraz Jewelry Box,8,04/04/2021 2:08,1098.2,771,Pakistan
103713,D009,Handcrafted Daraz Decorative Figurine,8,05/04/2021 10:12,261.54,688,Pakistan
103714,D044,Daraz Printed T-shirt,5,15/02/2021 18:51,439.2,555,Pakistan
103715,D027,Daraz Wooden Frame,8,09/02/2021 2:38,205.24,193,Pakistan
103716,D043,Wooden Daraz Jewelry Box,3,27/04/2021 10:50,1126.56,751,Pakistan
103717,D009,Daraz Calligraphy Art Piece,6,31/03/2021 11:50,767.51,325,Pakistan
103718,D012,Embroidered Daraz Cushion Cover,2,13/01/2021 10:03,366.79,291,Pakistan
103719,D018,Daraz Embroidered Towel,4,11/02/2021 16:44,1202.21,856,Pakistan
103720,D012,Handwoven Daraz Pashmina Shawl,10,02/03/2021 17:43,840.47,604,Pakistan
103721,D011,Daraz Decorative Lamp,2,09/07/2021 12:30,1226.75,896,Pakistan
103722,D021,Handcrafted Daraz Decorative Figurine,5,10/09/2021 17:06,1681.43,141,Pakistan
103723,D031,Daraz Artisanal Clock,7,06/05/2021 11:36,458.71,132,Pakistan
103724,D032,Hand-painted Daraz Ceramic Plate,3,02/05/2021 16:24,648.35,237,Pakistan
103725,D004,Daraz Calligraphy Art Piece,4,08/08/2021 6:47,791.4,200,Pakistan
103726,D012,Daraz Decorative Lamp,1,30/08/2021 17:13,301.47,469,Pakistan
103727,D022,Daraz Printed T-shirt,3,14/07/2021 8:19,981.69,356,Pakistan
103728,D027,Handcrafted Daraz Mug,9,20/02/2021 10:37,1413.77,619,Pakistan
103729,D022,Daraz Leather Wallet,3,28/11/2021 8:33,967.59,647,Pakistan
103730,D016,Daraz Model Car,3,18/12/2021 20:57,955.84,995,Pakistan
103731,D002,Miniature Daraz Truck Figurine,7,19/06/2021 6:19,1316.14,585,Pakistan
103732,D005,Daraz Calligraphy Art Piece,7,03/04/2021 11:47,1649.95,506,Pakistan
103733,D042,Daraz Embroidered Towel,4,28/02/2021 10:57,218.79,274,Pakistan
103734,D027,Wooden Daraz Keychain Set,3,29/11/2021 5:02,468.49,958,Pakistan
103735,D021,Daraz Artisanal Clock,9,17/01/2021 20:32,599.06,281,Pakistan
103736,D031,Wooden Daraz Jewelry Box,9,31/05/2021 6:15,69.37,835,Pakistan
103737,D030,Embroidered Daraz Cushion Cover,8,17/06/2021 22:17,273.95,280,Pakistan
103738,D040,Daraz Artisanal Clock,3,31/05/2021 22:00,808.85,420,Pakistan
103739,D044,Daraz Calligraphy Art Piece,4,16/09/2021 2:15,281.03,187,Pakistan
103740,D021,Wooden Daraz Jewelry Box,4,10/07/2021 6:54,1473.24,602,Pakistan
103741,D049,Daraz Artisanal Clock,7,22/01/2021 11:28,920.79,130,Pakistan
103742,D012,Daraz Wooden Frame,9,22/10/2021 20:49,767.96,602,Pakistan
103743,D020,Daraz Model Car,6,18/12/2021 22:37,1439.68,428,Pakistan
103744,D018,Daraz Handmade Notebook,7,26/05/2021 22:33,1046.92,303,Pakistan
103745,D022,Daraz Handmade Notebook,2,18/07/2021 14:33,486.66,316,Pakistan
103746,D011,Daraz Model Car,4,28/02/2021 22:17,152.07,284,Pakistan
103747,D049,Daraz Decorative Lamp,8,01/03/2021 16:41,488.76,119,Pakistan
103748,D017,Handcrafted Daraz Mug,6,15/08/2021 8:50,1402.75,448,Pakistan
103749,D044,Daraz Silk Scarf,5,08/04/2021 22:11,66.61,353,Pakistan
103750,D008,Daraz Decorative Lamp,3,19/07/2021 22:48,896.35,736,Pakistan
103751,D031,Daraz Embroidered Towel,3,05/03/2021 18:55,488.01,565,Pakistan
103752,D045,Miniature Daraz Truck Figurine,3,23/07/2021 1:53,1021.09,259,Pakistan
103753,D030,Embroidered Daraz Cushion Cover,8,01/09/2021 10:01,1306.35,361,Pakistan
103754,D014,Daraz Handmade Notebook,8,18/08/2021 22:33,74.56,765,Pakistan
103755,D016,Daraz Artisanal Clock,10,27/03/2021 10:05,500.17,398,Pakistan
103756,D008,Hand-painted Daraz Ceramic Plate,2,02/08/2021 11:26,509.82,781,Pakistan
103757,D041,Daraz Decorative Lamp,4,21/10/2021 13:09,1037.4,439,Pakistan
103758,D004,Daraz Artisanal Clock,8,28/10/2021 23:39,1803.64,435,Pakistan
103759,D042,Wooden Daraz Jewelry Box,8,02/05/2021 14:13,1984.21,210,Pakistan
103760,D014,Daraz Embroidered Towel,4,13/10/2021 16:14,1541.02,620,Pakistan
103761,D031,Handwoven Daraz Pashmina Shawl,1,01/10/2021 12:22,1421.29,421,Pakistan
103762,D038,Daraz Silk Scarf,5,16/05/2021 23:49,812.05,451,Pakistan
103763,D040,Handcrafted Daraz Mug,8,07/06/2021 7:38,1003.45,578,Pakistan
103764,D045,Daraz Model Car,6,12/07/2021 21:47,643.6,471,Pakistan
103765,D026,Handwoven Daraz Pashmina Shawl,9,17/09/2021 15:34,329.84,656,Pakistan
103766,D012,Daraz Artisanal Clock,2,28/08/2021 4:16,531.28,372,Pakistan
103767,D050,Daraz Decorative Lamp,6,29/12/2021 11:31,1444.71,370,Pakistan
103768,D030,Wooden Daraz Keychain Set,1,13/06/2021 1:59,634.59,585,Pakistan
103769,D042,Daraz Artisanal Clock,2,18/11/2021 14:35,839.26,474,Pakistan
103770,D005,Daraz Leather Wallet,9,29/05/2021 6:34,992.44,309,Pakistan
103771,D022,Daraz Decorative Lamp,1,30/08/2021 20:49,1544.9,866,Pakistan
103772,D017,Daraz Wooden Frame,8,29/07/2021 4:44,1293.9,451,Pakistan
103773,D040,Daraz Wooden Frame,3,07/07/2021 8:42,1729.04,509,Pakistan
103774,D031,Daraz Artisanal Clock,6,15/11/2021 17:38,1139.78,449,Pakistan
103775,D002,Daraz Wooden Frame,5,30/07/2021 10:34,861.9,618,Pakistan
103776,D036,Daraz Wooden Frame,6,04/08/2021 7:42,340.58,501,Pakistan
103777,D019,Hand-painted Daraz Ceramic Plate,8,06/08/2021 6:53,1986.99,765,Pakistan
103778,D046,Daraz Decorative Lamp,4,05/03/2021 9:54,1967.51,331,Pakistan
103779,D005,Handwoven Daraz Pashmina Shawl,3,15/08/2021 4:43,91.26,471,Pakistan
103780,D020,Handwoven Daraz Pashmina Shawl,7,12/08/2021 1:05,1278.74,503,Pakistan
103781,D025,Wooden Daraz Keychain Set,10,28/11/2021 12:06,1526.51,210,Pakistan
103782,D027,Daraz Decorative Lamp,4,14/04/2021 20:09,193.38,866,Pakistan
103783,D022,Handcrafted Daraz Decorative Figurine,10,21/05/2021 20:30,1959.31,315,Pakistan
103784,D025,Daraz Wooden Frame,1,23/07/2021 14:06,253.02,119,Pakistan
103785,D044,Traditional Daraz Pottery Bowl,1,12/05/2021 5:39,175.42,496,Pakistan
103786,D001,Daraz Silk Scarf,2,05/02/2021 2:06,1640.02,262,Pakistan
103787,D045,Daraz Silk Scarf,10,22/01/2021 10:48,659.51,643,Pakistan
103788,D016,Daraz Printed T-shirt,10,01/11/2021 18:23,1407.15,758,Pakistan
103789,D006,Embroidered Daraz Cushion Cover,10,08/09/2021 9:08,1931.93,257,Pakistan
103790,D020,Handwoven Daraz Pashmina Shawl,10,24/04/2021 18:23,347.99,841,Pakistan
103791,D004,Daraz Calligraphy Art Piece,5,22/05/2021 17:18,1947.04,728,Pakistan
103792,D041,Daraz Embroidered Towel,3,13/12/2021 19:26,135.05,978,Pakistan
103793,D017,Daraz Embroidered Towel,9,08/05/2021 17:23,1995.33,628,Pakistan
103794,D008,Miniature Daraz Truck Figurine,5,24/06/2021 3:13,1747.62,126,Pakistan
103795,D007,Daraz Embroidered Towel,9,02/03/2021 18:16,211.4,539,Pakistan
103796,D016,Handwoven Daraz Pashmina Shawl,7,11/08/2021 17:47,1276.69,880,Pakistan
103797,D019,Daraz Ceramic Vase,4,05/08/2021 22:39,921.13,178,Pakistan
103798,D023,Daraz Leather Wallet,7,17/05/2021 20:13,250.56,904,Pakistan
103799,D010,Daraz Wooden Frame,9,29/03/2021 2:33,544.58,790,Pakistan
103800,D037,Daraz Calligraphy Art Piece,3,08/02/2021 13:33,1782.79,756,Pakistan
103801,D021,Hand-painted Daraz Ceramic Plate,10,03/04/2021 14:58,1129.56,385,Pakistan
103802,D024,Daraz Leather Wallet,2,25/03/2021 2:25,1661.53,620,Pakistan
103803,D028,Handwoven Daraz Pashmina Shawl,9,29/12/2021 5:16,1024,105,Pakistan
103804,D007,Daraz Artisanal Clock,7,27/04/2021 18:10,268.6,308,Pakistan
103805,D045,Daraz Embroidered Towel,8,21/07/2021 1:47,1820.9,494,Pakistan
103806,D044,Wooden Daraz Jewelry Box,7,08/05/2021 11:21,1771.88,520,Pakistan
103807,D021,Daraz Embroidered Towel,9,30/11/2021 11:11,1642.05,392,Pakistan
103808,D045,Traditional Daraz Pottery Bowl,10,21/02/2021 4:53,976.75,105,Pakistan
103809,D046,Handwoven Daraz Pashmina Shawl,9,29/06/2021 14:31,1901.04,751,Pakistan
103810,D014,Daraz Leather Wallet,7,21/03/2021 12:11,1627.47,278,Pakistan
103811,D001,Wooden Daraz Jewelry Box,9,20/05/2021 5:38,1749.29,159,Pakistan
103812,D009,Wooden Daraz Keychain Set,6,02/04/2021 20:14,813.09,516,Pakistan
103813,D031,Wooden Daraz Jewelry Box,1,03/11/2021 19:48,1832.09,498,Pakistan
103814,D039,Hand-painted Daraz Ceramic Plate,7,21/12/2021 9:14,129.94,167,Pakistan
103815,D041,Handcrafted Daraz Decorative Figurine,5,25/07/2021 3:34,486.79,268,Pakistan
103816,D045,Daraz Silk Scarf,9,16/12/2021 23:40,240.65,831,Pakistan
103817,D008,Daraz Leather Wallet,10,12/01/2021 8:39,1440.43,285,Pakistan
103818,D008,Handwoven Daraz Pashmina Shawl,1,27/12/2021 3:34,1378.28,792,Pakistan
103819,D042,Wooden Daraz Keychain Set,5,06/03/2021 19:46,648.62,458,Pakistan
103820,D016,Daraz Handmade Notebook,7,26/08/2021 19:01,425.34,407,Pakistan
103821,D012,Wooden Daraz Jewelry Box,7,29/05/2021 10:49,1875.34,269,Pakistan
103822,D016,Wooden Daraz Keychain Set,1,15/07/2021 17:38,566.42,135,Pakistan
103823,D038,Miniature Daraz Truck Figurine,3,08/08/2021 18:58,862.62,756,Pakistan
103824,D015,Miniature Daraz Truck Figurine,1,07/02/2021 2:33,1383.2,597,Pakistan
103825,D023,Daraz Printed T-shirt,8,17/12/2021 9:02,854.91,627,Pakistan
103826,D034,Daraz Leather Wallet,10,17/04/2021 21:27,681.84,189,Pakistan
103827,D039,Wooden Daraz Keychain Set,8,21/07/2021 19:15,1732.18,880,Pakistan
103828,D042,Hand-painted Daraz Ceramic Plate,6,24/01/2021 10:33,1043.26,270,Pakistan
103829,D038,Daraz Calligraphy Art Piece,6,11/11/2021 14:32,898.62,486,Pakistan
103830,D038,Daraz Calligraphy Art Piece,5,06/10/2021 13:59,1572.29,289,Pakistan
103831,D017,Daraz Embroidered Towel,8,19/04/2021 19:54,1751.44,801,Pakistan
103832,D041,Embroidered Daraz Cushion Cover,1,27/02/2021 13:03,405.17,616,Pakistan
103833,D024,Daraz Ceramic Vase,7,07/11/2021 2:53,527.96,933,Pakistan
103834,D039,Traditional Daraz Pottery Bowl,8,13/03/2021 16:07,361.16,340,Pakistan
103835,D034,Handcrafted Daraz Decorative Figurine,3,08/01/2021 23:10,1667.01,515,Pakistan
